@relation viviendas_clasificacion

@attribute precioM2 numeric
@attribute superficieM2 numeric
@attribute habitaciones numeric
@attribute banos numeric
@attribute tienePiscina {true,false}
@attribute tieneTerraza {true,false}
@attribute tieneParking {true,false}
@attribute tieneJardin {true,false}
@attribute aireAcondicionado {true,false}
@attribute cercaPlaya {true,false}
@attribute distanciaAeropuertoKm numeric
@attribute clase {Oferta,Vivienda,ParaReformar,Descartado}

@data
2394,71,2,2,true,true,false,false,true,true,22,Oferta
2042,71,2,1,true,true,true,false,true,false,28,Oferta
5143,70,2,3,false,true,false,false,true,false,9,Descartado
5193,83,2,2,true,true,true,true,true,false,10,Descartado
1047,129,4,1,false,true,false,false,false,false,66,Descartado
2746,63,2,2,true,false,false,false,false,false,22,Vivienda
2059,34,1,1,true,true,true,false,true,false,81,Oferta
2574,54,2,1,true,false,false,false,false,false,11,Vivienda
0,0,2,2,true,true,true,true,false,false,9,ParaReformar
5120,83,2,2,true,false,true,true,true,false,49,Descartado
1228,114,3,2,false,true,false,false,true,false,66,Oferta
6264,91,2,3,true,false,false,false,false,false,35,Descartado
5337,89,2,2,true,true,true,true,true,false,61,Descartado
2138,123,3,2,true,true,true,true,true,true,83,Oferta
2953,88,3,1,false,true,false,false,false,true,50,Vivienda
4664,149,3,2,true,true,true,true,true,true,16,Vivienda
4284,109,2,0,true,true,true,true,true,false,50,Descartado
3017,119,3,2,true,true,true,false,true,true,24,Oferta
2612,67,2,1,false,true,true,false,false,true,66,Oferta
3164,122,3,2,true,false,false,false,false,false,43,Descartado
4634,71,3,2,true,false,false,false,false,false,11,Descartado
3959,73,1,1,false,true,false,false,false,false,12,Descartado
4701,318,3,2,true,true,true,true,true,true,47,Vivienda
3590,100,3,2,false,true,true,false,true,false,10,Descartado
3517,118,2,2,true,true,true,true,true,false,55,Vivienda
2608,69,2,1,true,true,true,true,true,false,19,Vivienda
4611,72,2,2,true,true,true,true,false,false,23,Descartado
3950,119,3,3,true,true,false,true,true,false,7,Descartado
3625,80,2,2,false,false,false,false,false,false,33,Descartado
1909,55,2,2,true,false,true,false,true,false,32,Oferta
4370,135,2,2,true,false,true,false,false,true,53,Vivienda
4079,38,1,1,false,false,false,false,true,false,47,Descartado
4452,73,2,2,true,true,true,true,true,false,24,Descartado
2164,110,3,2,true,true,true,false,true,false,83,Oferta
2403,62,1,1,true,true,true,false,true,false,35,Oferta
792,125,3,2,false,true,false,false,false,false,54,ParaReformar
9000,60,2,1,false,false,false,false,false,true,27,Descartado
2083,60,1,1,true,true,true,true,true,false,26,Oferta
3313,83,2,2,true,true,true,true,true,true,4,Oferta
4892,93,3,2,true,true,true,true,true,true,4,Vivienda
6700,100,3,3,false,false,false,false,false,false,17,Descartado
2200,70,2,1,true,true,false,false,false,false,66,Vivienda
5864,81,2,2,true,true,true,false,false,true,61,Descartado
3386,35,1,1,true,true,false,true,false,false,18,Vivienda
2280,125,1,1,false,true,false,false,true,false,47,Vivienda
5069,130,3,2,true,true,true,true,true,false,16,Descartado
1822,85,2,1,false,true,true,false,true,false,6,Oferta
4053,74,2,1,false,true,true,false,false,false,18,Descartado
2016,62,3,1,true,true,true,true,true,false,48,Vivienda
5167,48,2,1,true,true,true,true,true,false,31,Descartado
0,0,2,1,true,true,false,false,true,false,19,Oferta
5400,85,2,2,true,true,true,true,true,true,16,Descartado
6929,70,2,2,false,true,false,false,false,true,17,Descartado
3740,127,2,2,true,true,true,true,true,false,61,Vivienda
5337,89,2,2,true,true,true,false,false,true,61,Descartado
3154,91,2,2,true,true,true,true,true,false,35,Vivienda
4555,71,2,2,true,true,true,true,false,false,52,Descartado
5066,76,2,1,false,true,true,false,false,false,50,Descartado
3714,175,3,2,true,true,true,true,true,false,16,Vivienda
5588,51,1,1,true,true,false,true,true,false,46,Descartado
5990,100,3,2,false,true,false,false,true,false,5,Descartado
2337,98,2,1,true,false,false,false,false,false,49,Vivienda
1179,140,3,2,false,true,true,false,true,false,49,Oferta
2348,132,2,2,true,false,false,true,true,false,28,Vivienda
2318,55,2,1,false,false,false,false,true,false,24,Vivienda
1607,56,2,1,true,true,false,false,true,false,33,Oferta
3364,162,3,2,true,true,true,true,true,true,32,Oferta
4048,63,2,1,false,false,false,false,true,false,12,Descartado
4375,120,2,1,false,true,false,true,true,false,9,Descartado
2207,111,3,2,true,true,true,false,true,false,10,Oferta
2492,600,6,4,true,true,true,true,true,false,10,Vivienda
1882,85,2,2,true,true,true,true,true,false,4,Oferta
1635,52,2,1,true,true,false,false,true,false,33,Oferta
3826,86,2,1,false,true,false,false,true,false,5,Descartado
3860,50,2,1,true,true,true,true,true,false,26,Vivienda
3621,58,1,1,true,true,false,true,true,false,5,Vivienda
7063,126,2,3,true,true,true,true,true,false,30,Descartado
4936,78,2,3,true,true,true,true,true,false,24,Descartado
3178,118,2,2,true,true,true,true,false,false,66,Vivienda
17881,151,2,2,true,true,true,true,true,false,13,Descartado
4598,87,2,2,true,true,true,true,true,false,49,Descartado
3577,26,1,1,false,false,false,false,false,false,48,Descartado
1833,120,2,2,true,true,true,false,true,false,33,Oferta
3831,65,2,2,true,true,false,true,false,false,23,Descartado
4200,45,1,1,false,false,false,false,false,true,5,Descartado
7021,141,2,3,true,true,true,true,true,false,12,Descartado
1125,88,3,2,false,false,true,false,false,false,8,ParaReformar
5444,45,1,1,true,false,false,false,false,false,26,Descartado
2827,179,3,2,true,true,true,true,true,false,55,Vivienda
2504,115,3,3,true,true,true,true,true,false,79,Vivienda
4861,36,1,1,true,true,true,true,true,false,49,Descartado
3929,70,2,2,true,true,true,false,true,true,4,Vivienda
2817,131,3,3,true,true,true,true,false,false,23,Vivienda
2644,34,1,1,true,false,false,true,true,false,28,Vivienda
3676,38,1,1,false,false,false,false,true,false,9,Descartado
4035,99,3,2,false,false,false,false,false,false,0,Descartado
2807,187,3,2,true,true,true,true,false,true,38,Oferta
552,58,3,1,false,false,false,false,false,false,40,ParaReformar
5812,80,2,1,true,true,true,true,true,false,26,Descartado
4542,59,2,1,false,false,false,false,false,false,0,Descartado
4038,104,3,2,true,true,true,true,true,true,10,Vivienda
9280,264,3,3,true,true,true,true,true,true,56,Descartado
2896,48,2,1,false,false,false,false,false,false,0,Descartado
3333,75,1,1,true,true,true,true,true,false,31,Vivienda
0,0,2,1,false,false,false,false,false,false,0,ParaReformar
2644,64,2,2,true,true,true,false,true,false,30,Vivienda
2767,103,2,2,false,false,false,false,false,false,0,Descartado
611,90,3,1,false,false,false,false,true,false,104,Vivienda
1773,110,3,1,false,true,false,false,false,false,51,Vivienda
3088,80,2,2,false,false,false,false,false,false,60,Descartado
1430,100,2,2,true,true,true,true,true,false,4,Oferta
11260,131,3,2,true,true,true,true,true,true,0,Descartado
3649,37,1,1,true,true,true,true,true,true,66,Oferta
3782,78,2,2,true,true,true,true,true,true,24,Vivienda
1750,140,2,2,true,false,false,false,false,false,31,Oferta
3919,80,2,2,true,true,false,true,true,true,40,Vivienda
2273,110,4,2,true,true,false,true,false,true,18,Oferta
7114,35,2,2,false,true,false,false,false,true,8,Descartado
4798,104,3,2,false,true,false,true,true,false,0,Descartado
3165,85,3,1,true,true,false,true,true,false,24,Vivienda
3000,70,2,2,false,true,false,false,false,false,56,Descartado
3856,70,2,2,true,true,true,true,true,true,11,Vivienda
6900,100,2,2,false,false,false,false,true,false,5,Descartado
3598,82,2,2,false,true,false,false,false,false,53,Descartado
2157,102,3,1,true,true,true,false,false,false,19,Vivienda
2353,51,2,1,true,true,true,false,true,false,48,Oferta
0,0,3,2,true,false,false,false,false,false,42,ParaReformar
2078,77,2,1,true,false,false,false,false,false,56,Vivienda
6496,127,4,1,false,true,false,false,false,false,8,Descartado
2536,138,3,2,true,true,true,false,true,false,18,Vivienda
7136,110,3,2,false,false,false,false,false,false,0,Descartado
2184,87,3,2,true,true,true,true,false,true,22,Oferta
5437,126,2,2,false,false,false,false,false,true,21,Descartado
6203,37,1,1,true,false,true,false,true,false,35,Descartado
